49 44 65.0
26 47 51.0
27 44 51.0
36 17 50.0
48 45 49.0
35 40 48.0
48 44 48.0
27 38 39.0
35 43 38.0
35 52 38.0
40 25 36.0
32 51 35.0
36 52 35.0
31 44 33.0
48 38 33.0
17 58 32.0
47 45 30.0
47 51 29.0
58 56 29.0
47 50 28.0
51 37 28.0
33 51 27.0
21 34 26.0
36 40 26.0
25 45 24.0
26 37 24.0
18 45 23.0
34 40 22.0
30 15 21.0
31 18 21.0
39 25 21.0
50 38 21.0
19 49 20.0
21 32 20.0
37 38 20.0
43 51 20.0
45 55 20.0
47 54 20.0
52 36 20.0
30 18 19.0
36 15 19.0
21 33 18.0
28 19 18.0
34 38 18.0
48 42 18.0
51 36 18.0
34 22 17.0
36 43 17.0
42 24 17.0
47 31 17.0
47 41 17.0
49 38 17.0
20 34 16.0
26 38 16.0
29 38 16.0
34 23 16.0
43 21 16.0
43 59 16.0
44 59 16.0
16 52 15.0
25 37 15.0
34 49 15.0
36 14 15.0
24 45 14.0
30 44 14.0
33 20 14.0
33 40 14.0
34 39 14.0
36 16 14.0
41 25 14.0
42 25 14.0
42 26 14.0
43 50 14.0
48 39 14.0
48 43 14.0
36 45 13.0
39 18 13.0
40 24 13.0
43 25 13.0
47 24 13.0
20 33 12.0
21 37 12.0
23 45 12.0
27 45 12.0
31 43 12.0
32 44 12.0
32 50 12.0
32 54 12.0
35 47 12.0
40 51 12.0
43 53 12.0
44 46 12.0
45 47 12.0
54 40 12.0
69 27 12.0
25 50 11.0
29 16 11.0
31 51 11.0
32 17 11.0
51 39 11.0
52 35 11.0
59 66 11.0
12 51 10.0
19 36 10.0
19 47 10.0
24 41 10.0
24 59 10.0
25 41 10.0
37 24 10.0
41 46 10.0
42 50 10.0
43 26 10.0
47 44 10.0
47 48 10.0
50 44 10.0
52 37 10.0
53 54 10.0
59 36 10.0
18 36 9.0
21 38 9.0
22 53 9.0
28 20 9.0
28 44 9.0
30 17 9.0
35 14 9.0
35 38 9.0
